file                                                              before   after   wrap  tokSkip  segSkip  lnSkip
interactive-lessons/bio-viral-biology-part7.ts                        25       0     12        0        0       0
interactive-lessons/bio-water-properties-biochemistry-part1.ts         4       0      4        0        0       0
interactive-lessons/bio-water-properties-biochemistry-part4.ts         5       0      5        0        0       0
interactive-lessons/bio-water-properties-biochemistry-part7.ts         2       0      2        0        0       1
interactive-lessons/calcab-antiderivatives-indefinite-integrals-calcab-part3.ts       4       0      4        0        0       0
interactive-lessons/calcab-applications-of-derivatives-calcab-part5.ts       4       0      4        0        0       0
interactive-lessons/calcab-applications-of-derivatives-calcab-part6.ts       2       0      5        0        0       0
interactive-lessons/calcab-basic-differentiation-rules-calcab-part5.ts       2       0      2        0        0       0
interactive-lessons/calcab-concavity-inflection-points-calcab-part5.ts       2       0      2        0        0       0
interactive-lessons/calcab-concavity-inflection-points-calcab-part6.ts       2       0      2        0        0       0
interactive-lessons/calcab-definition-of-derivative-calcab-part4.ts       1       0      1        0        6       0
interactive-lessons/calcab-derivatives-exp-log-calcab-part1.ts         2       0      2        0        0       0
interactive-lessons/calcab-derivatives-exp-log-calcab-part4.ts         3       2      1        2        0       0
interactive-lessons/calcab-differential-equations-calcab-part2.ts       4       0      4        0        0       0
interactive-lessons/calcab-differential-equations-calcab-part5.ts       3       0      3        0        0       0
interactive-lessons/calcab-factoring-method-limits-part2.ts            1       0      1        0        0       0
interactive-lessons/calcab-implicit-differentiation-calcab-part4.ts      14       0      8        0        0       0
interactive-lessons/calcab-implicit-differentiation-calcab-part7.ts       3       0      2        0        0       0
interactive-lessons/calcab-limits-at-infinity-part3.ts                 1       1      0        1        0       0
interactive-lessons/calcab-limits-continuity-calcab-part5.ts           3       0      3        0        0       0
interactive-lessons/calcab-related-rates-calcab-part1.ts              11       0     11        0        0       0
interactive-lessons/calcab-related-rates-calcab-part3.ts               9       0      9        0        0       0
interactive-lessons/calcab-related-rates-calcab-part4.ts               1       0      1        0        0       0
interactive-lessons/calcab-related-rates-calcab-part5.ts               7       0      7        0        0       0
interactive-lessons/calcab-related-rates-calcab-part7.ts               4       0      4        0        0       0
interactive-lessons/calcab-u-substitution-calcab-part6.ts              2       0      2        0        0       0
interactive-lessons/calcab-u-substitution-calcab-part7.ts              3       0      3        0        0       0
interactive-lessons/calcbc-arc-length-surface-area-calcbc-part4.ts       2       0      3        0        0       0
interactive-lessons/calcbc-arc-length-surface-area-calcbc-part7.ts       1       0      1        0        0       0
interactive-lessons/calcbc-bc-exam-strategies-calcbc-part4.ts          3       0      3        0        0       0
interactive-lessons/calcbc-convergence-tests-summary-calcbc-part6.ts       2       0      2        0        0       0
interactive-lessons/calcbc-differential-equations-bc-calcbc-part1.ts       2       0      2        0        0       0
interactive-lessons/calcbc-differential-equations-bc-calcbc-part6.ts       1       0      1        0        0       0
interactive-lessons/calcbc-differential-equations-bc-calcbc-part7.ts       1       0      1        0        0       0
interactive-lessons/calcbc-infinite-series-calcbc-part1.ts             1       0      1        0        0       0
interactive-lessons/calcbc-lhopitals-advanced-calcbc-part2.ts          1       0      1        0        0       0
interactive-lessons/calcbc-parametric-curves-calculus-calcbc-part5.ts       6       0      2        0        0       0
interactive-lessons/calcbc-parametric-derivatives-calcbc-part7.ts       1       1      0        0        0       0
interactive-lessons/calcbc-polar-area-derivatives-calcbc-part3.ts       1       1      0        0        0       0
interactive-lessons/calcbc-polar-calculus-calcbc-part4.ts              1       1      0        0        0       0
interactive-lessons/calcbc-review-connections-calcbc-part1.ts          3       0      3        0        0       0
interactive-lessons/calcbc-taylor-maclaurin-series-calcbc-part2.ts       1       0      1        0        0       0
interactive-lessons/calcbc-taylor-maclaurin-series-calcbc-part3.ts      17      17      0        0        0       0
interactive-lessons/chemistry-acid-base-theories-ph-part1.ts          20       0     15        0        0       0
interactive-lessons/chemistry-acid-base-theories-ph-part2.ts          16       0     10        0        0       0
interactive-lessons/chemistry-acid-base-theories-ph-part6.ts           1       0      1        0        0       0
interactive-lessons/chemistry-acid-base-theories-ph-part7.ts           3       0      3        0        0       0
interactive-lessons/chemistry-acid-base-titrations-part2.ts            3       0      3        0        0       0
interactive-lessons/chemistry-acid-base-titrations-part3.ts            4       0      4        0        0       0
interactive-lessons/chemistry-acid-base-titrations-part4.ts            2       0      2        0        0       0
interactive-lessons/chemistry-acid-base-titrations-part6.ts           10       0     10        0        0       0
interactive-lessons/chemistry-acid-base-titrations-part7.ts            3       0      3        0        0       0
interactive-lessons/chemistry-activation-energy-arrhenius-part1.ts      23       0     19        0        0       0
interactive-lessons/chemistry-activation-energy-arrhenius-part2.ts       8       0      3        0        0       0
interactive-lessons/chemistry-activation-energy-arrhenius-part3.ts      36       1     25        0        0       0
interactive-lessons/chemistry-activation-energy-arrhenius-part4.ts      43       0     22        0        0       0
interactive-lessons/chemistry-activation-energy-arrhenius-part5.ts      77       0     56        0        0       0
interactive-lessons/chemistry-activation-energy-arrhenius-part6.ts      32       2     25        0        0       0
interactive-lessons/chemistry-activation-energy-arrhenius-part7.ts      46       4     29        0        0       0
interactive-lessons/chemistry-atomic-spectra-part2.ts                  5       0      4        0        0       0
interactive-lessons/chemistry-atomic-spectra-part4.ts                 10       0      6        0        0       0
interactive-lessons/chemistry-atomic-spectra-part5.ts                  6       0      5        0        0       0
interactive-lessons/chemistry-atomic-spectra-part6.ts                  4       0      2        0        0       0
interactive-lessons/chemistry-atomic-spectra-part7.ts                 15       0     14        0        0       0
interactive-lessons/chemistry-buffer-solutions-henderson-hasselbalch-part1.ts      11       0      3        0        0       0
interactive-lessons/chemistry-buffer-solutions-henderson-hasselbalch-part2.ts      10       0     10        0        0       0
interactive-lessons/chemistry-buffer-solutions-henderson-hasselbalch-part3.ts       2       0      2        0        0       0
interactive-lessons/chemistry-buffer-solutions-henderson-hasselbalch-part4.ts       5       0      5        0        0       0
interactive-lessons/chemistry-buffer-solutions-henderson-hasselbalch-part5.ts       6       0      6        0        0       0
interactive-lessons/chemistry-buffer-solutions-henderson-hasselbalch-part6.ts       4       0      4        0        0       0
interactive-lessons/chemistry-buffer-solutions-henderson-hasselbalch-part7.ts       7       0      7        0        0       0
interactive-lessons/chemistry-electrolytic-cells-faraday-part1.ts       2       0      2        0        0       0
interactive-lessons/chemistry-electrolytic-cells-faraday-part2.ts       1       0      1        0        0       0
interactive-lessons/chemistry-electrolytic-cells-faraday-part3.ts     202       0    166        0        0       0
interactive-lessons/chemistry-electrolytic-cells-faraday-part4.ts      25       0     19        0        0       0
interactive-lessons/chemistry-electrolytic-cells-faraday-part5.ts      34       0     19        0        0       0
interactive-lessons/chemistry-electrolytic-cells-faraday-part6.ts      51       0     46        0        0       0
interactive-lessons/chemistry-electrolytic-cells-faraday-part7.ts      31       0     31        0        0       0
interactive-lessons/chemistry-electron-configuration-part1.ts         14       0     11        0        0       0
interactive-lessons/chemistry-electron-configuration-part2.ts          5       0      5        0        0       0
interactive-lessons/chemistry-electron-configuration-part3.ts         64       0     77        0        0       0
interactive-lessons/chemistry-electron-configuration-part4.ts        191       0    176        0        0       0
interactive-lessons/chemistry-electron-configuration-part5.ts        144       0    132        0        0       0
interactive-lessons/chemistry-electron-configuration-part6.ts          9       0      9        0        0       0
interactive-lessons/chemistry-electron-configuration-part7.ts         91       0     76        0        0       0
interactive-lessons/chemistry-enthalpy-calorimetry-part1.ts           12       0     10        0        0       0
interactive-lessons/chemistry-enthalpy-calorimetry-part2.ts           16       0     16        0        0       0
interactive-lessons/chemistry-enthalpy-calorimetry-part4.ts            1       0      1        0        0       0
interactive-lessons/chemistry-enthalpy-calorimetry-part5.ts           14       0     12        0        0       0
interactive-lessons/chemistry-enthalpy-calorimetry-part6.ts           35       0     27        0        0       0
interactive-lessons/chemistry-enthalpy-calorimetry-part7.ts           32       1     23        1        0       0
interactive-lessons/chemistry-entropy-second-law-part1.ts              5       0      5        0        0       0
interactive-lessons/chemistry-entropy-second-law-part2.ts             36       0     36        0        0       0
interactive-lessons/chemistry-entropy-second-law-part4.ts             21       0     21        0        0       0
interactive-lessons/chemistry-entropy-second-law-part5.ts             11       0     11        0        0       0
interactive-lessons/chemistry-entropy-second-law-part6.ts              8       3      4        0        0       0
interactive-lessons/chemistry-entropy-second-law-part7.ts              9       0      8        0        0       0
interactive-lessons/chemistry-entropy-second-law-v2-part4.ts          13       2      9        2        0       0
interactive-lessons/chemistry-entropy-second-law-v2-part5.ts           3       0      2        0        0       0
interactive-lessons/chemistry-entropy-second-law-v2-part6.ts           4       0      4        0        0       0
interactive-lessons/chemistry-entropy-second-law-v2-part7.ts           8       0      4        0        0       0
interactive-lessons/chemistry-entropy-second-law-v3-part1.ts          12       0     12        0        0       0
interactive-lessons/chemistry-entropy-second-law-v3-part3.ts           2       0      1        0        0       0
interactive-lessons/chemistry-entropy-second-law-v3-part4.ts          18       7     13        7        0       0
interactive-lessons/chemistry-entropy-second-law-v3-part5.ts           4       0      4        0        0       0
interactive-lessons/chemistry-entropy-second-law-v3-part6.ts           6       0      6        0        0       0
interactive-lessons/chemistry-entropy-second-law-v3-part7.ts           7       0      6        0        0       0
interactive-lessons/chemistry-equilibrium-constants-part1.ts           2       0      2        0        0       0
interactive-lessons/chemistry-equilibrium-constants-part2.ts           5       0      4        0        0       0
interactive-lessons/chemistry-equilibrium-constants-part3.ts           1       0      1        0        0       0
interactive-lessons/chemistry-equilibrium-constants-part4.ts           2       0      1        0        0       0
interactive-lessons/chemistry-equilibrium-constants-part6.ts           2       0      2        0        0       0
interactive-lessons/chemistry-equilibrium-constants-part7.ts           6       0      6        0        0       0
interactive-lessons/chemistry-galvanic-cells-potentials-part1.ts      50       0     28        0        0       0
interactive-lessons/chemistry-galvanic-cells-potentials-part2.ts      17       0     10        0        0       0
interactive-lessons/chemistry-galvanic-cells-potentials-part3.ts       3       0      2        0        0       0
interactive-lessons/chemistry-galvanic-cells-potentials-part4.ts      70       0     42        0        0       0
interactive-lessons/chemistry-galvanic-cells-potentials-part6.ts      40       0     29        0        0       0
interactive-lessons/chemistry-galvanic-cells-potentials-part7.ts      20       0     12        0        0       0
interactive-lessons/chemistry-gibbs-free-energy-part2.ts               1       0      1        0        0       0
interactive-lessons/chemistry-gibbs-free-energy-part3.ts              10       0      8        0        0       0
interactive-lessons/chemistry-gibbs-free-energy-part4.ts               6       0      4        0        0       0
interactive-lessons/chemistry-gibbs-free-energy-part5.ts               1       0      1        0        0       0
interactive-lessons/chemistry-gibbs-free-energy-part6.ts               6       3      2        0        0       0
interactive-lessons/chemistry-gibbs-free-energy-part7.ts               1       0      1        0        0       0
interactive-lessons/chemistry-hybridization-sigma-pi-bonds-part1.ts      65       0     64        0        0       0
interactive-lessons/chemistry-hybridization-sigma-pi-bonds-part2.ts      82       0     76        0        0       0
interactive-lessons/chemistry-hybridization-sigma-pi-bonds-part3.ts      29       0     24        0        0       0
interactive-lessons/chemistry-hybridization-sigma-pi-bonds-part4.ts      66       0     60        0        0       0
interactive-lessons/chemistry-hybridization-sigma-pi-bonds-part5.ts      72       0     57        0        0       0
interactive-lessons/chemistry-hybridization-sigma-pi-bonds-part6.ts      56       0     56        0        0       0
interactive-lessons/chemistry-hybridization-sigma-pi-bonds-part7.ts      92       0     86        0        0       0
interactive-lessons/chemistry-ice-tables-calculations-part1.ts         4       0      4        0        0       0
interactive-lessons/chemistry-ice-tables-calculations-part2.ts         3       0      3        0        0       0
interactive-lessons/chemistry-ice-tables-calculations-part3.ts         5       0      4        0        0       0
interactive-lessons/chemistry-ice-tables-calculations-part4.ts         2       0      2        0        0       0
interactive-lessons/chemistry-ice-tables-calculations-part7.ts         8       0      9        0        0       0
interactive-lessons/chemistry-ideal-gas-law-part1.ts                   9       0      9        0        0       0
